uri,Region_Name,Region_subRegion,Region_Country
Kamptal_instance,Kamptal,Kamptal,Austria
Kremstal_instance,Kremstal,Kremstal,Austria
Wachau_wine_instance,Wachau,Wachau,Austria
Cahors_wine_instance,Cahors,South West,France
Mâconnais_instance,Maconnais,Burgundy,France
Limoux_wine_instance,Limoux,Languedoc-Roussillon,France
Pouilly-Fuissé_instance,Pouilly Fuisse,Burgundy,France
Bourgogne_Aligoté_AOC_instance,Bourgogne Aligote,Burgundy,France
Condrieu_AOC_instance,Condrieu,Rhone,France
Banyuls_AOC_instance,Banyuls,Languedoc-Roussillon,France
Côte_de_Beaune_instance,Cote de Beaune,Burgundy,France
Côtes_du_Rhône_AOC_instance,Cotes du Rhone,Rhone,France
Pommard_wine_instance,Pommard,Burgundy,France
Tavel_AOC_instance,Tavel,Rhone,France
Morey-Saint-Denis_wine_instance,Morey Saint Denis,Burgundy,France
Saint-Aubin_wine_instance,Saint Aubin,Burgundy,France
Coteaux_du_Layon_instance,Coteaux du Layon,Loire,France
Bordeaux_wine_instance,Bordeaux,Bordeaux,France
Gigondas_AOC_instance,Gigondas,Rhone,France
Sancerre_(wine)_instance,Sancerre,Loire,France
Savoy_wine_instance,Savoy,Savoie,France
Beaune_wine_instance,Beaune,Burgundy,France
Beaujolais_instance,Beaujolais,Beaujolais,France
Pouilly-Fumé_instance,Pouilly-Fume,Loire,France
Côte_de_Nuits_instance,Cote de Nuits,Burgundy,France
Côte-Rôtie_AOC_instance,Cote-Rotie,Rhone,France
Sauternes_(wine)_instance,Sauternes,Bordeaux,France
Loire_Valley_(wine)_instance,Loire Valley,Loire,France
Minervois_AOC_instance,Minervois,Languedoc-Roussillon,France
Châteauneuf-du-Pape_AOC_instance,Chateauneuf-du-Pape,Rhone,France
Fronton_AOC_instance,Fronton,South West,France
Muscat_de_Rivesaltes_AOC_instance,Muscat de Rivesaltes,Languedoc-Roussillon,France
Arbois_instance,Arbois,Jura,France
Côtes_de_Toul_instance,Cotes de Toul,Alsace,France
Touraine_AOC_instance,Touraine,Loire,France
Monbazillac_AOC_instance,Monbazillac,South West,France
Chablis_wine_instance,Chablis,Burgundy,France
Médoc_AOC_instance,Medoc,Bordeaux,France
Graves_(wine_region)_instance,Graves,Bordeaux,France
Haut-Médoc_AOC_instance,Haut-Medoc,Bordeaux,France
Frontignan_instance,Frontignan,Languedoc-Roussillon,France
Entre-Deux-Mers_instance,Entre-Deux-Mers,Bordeaux,France
Provence_wine_instance,Provence,Provence,France
Maury_AOC_instance,Maury,Languedoc-Roussillon,France
Languedoc-Roussillon_instance,Languedoc-Roussillon,Languedoc-Roussillon,France
Saint-Émilion_AOC_instance,Saint-emilion,Bordeaux,France
Rhône_wine_instance,Rhone,Rhone,France
Chinon_AOC_instance,Chinon,Loire,France
Côte_d'Or_(escarpment)_instance,Cote d'Or,Burgundy,France
Rheingau_(wine_region)_instance,Rheingau,Rheingau,Germany
Ruwer_(wine_region)_instance,Ruwer,Mosel,Germany
Mosel_(wine_region)_instance,Mosel,Mosel,Germany
Baden_(wine_region)_instance,Baden,Baden,Germany
Tokaji_instance,Tokaji,Tokaji,Hungry
Campania_instance,Campania,Campania,Italy
Apulia_instance,Apulia,Pulia,Italy
Tuscan_wine_instance,Tuscan,Tuscany,Italy
Chianti_(region)_instance,Chianti,Tuscany,Italy
Barbaresco_instance,Barbaresco,Piemonte,Italy
Brunello_di_Montalcino_instance,Brunello di Montalcino,Tuscany,Italy
Trento_DOC_instance,Trento,Trentino-Alto Adige,Italy
Lombardia_(wine)_instance,Lombardia,Lombardy,Italy
Moscato_d'Asti_instance,Moscato d'Asti,Piemonte,Italy
Orvieto_DOC_instance,Orvieto,Lazio,Italy
Montefalco_DOC_instance,Montefalco,Umbria,Italy
Sardinian_wine_instance,Sardinian,Sardinia,Italy
Taurasi_DOCG_instance,Taurasi,Campania,Italy
Calabrian_wine_instance,Calabria,Calabria,Italy
Etna_DOC_instance,Etna,Sicily,Italy
Valpolicella_instance,Valpolicella,Veneto,Italy
Bardolino_DOC_instance,Bardolino,Veneto,Italy
Basilicata_instance,Basilicata,Basilicata,Italy
Barolo_instance,Barolo,Piemonte,Italy
Piemonte_(wine)_instance,Piemonte,Piemonte,Italy
Langhe_instance,Langhe,Piemonte,Italy
Falerio_dei_Colli_Ascolani_instance,Falerio dei Colli Ascolani,Marche,Italy
"Soave,_Veneto_instance",Soave Veneto,Veneto,Italy
Amarone_instance,Amarone,Veneto,Italy
Abruzzo_(wine)_instance,Abruzzo,Abruzzo,Italy
Sicily_instance,Sicily,Sicily,Italy
Romagna_Albana_instance,Romagna Albana,Emilia-Romagna,Italy
Friuli-Venezia_Giulia_wine_instance,Friuli-Venezia Giulia,Friuli-Venezia Giulia,Italy
Asti_wine_instance,Asti,Piemonte,Italy
Getariako_Txakolina_instance,Getariako Txakolina,Pais Vasco,Spain
Campo_de_Borja_(DO)_instance,Campo de Borja,Aragon,Spain
Montilla-Moriles_instance,Montilla-Moriles,Andalusia,Spain
Alicante_(DO)_instance,Alicante,Valencia,Spain
Tejo_VR_instance,Tejo,Tejo,Spain
Ribeiro_(DO)_instance,Ribeiro,Galicia,Spain
Bierzo_(DO)_instance,Bierzo,Bierzo,Spain
Yecla_(DO)_instance,Yecla,Murcia,Spain
Penedès_(DO)_instance,Penedes,Catalonia,Spain
Cariñena_(DO)_instance,Carinena,Aragon,Spain
La_Mancha_(DO)_instance,La Mancha,Castilla-La Mancha,Spain
Jumilla_(DO)_instance,Jumilla,Murcia,Spain
Méntrida_DO_instance,Mentrida,Castilla-La Mancha,Spain
Murcia_(Vino_de_la_Tierra)_instance,Murcia,Murcia,Spain
Valencia_(DO)_instance,Valencia,Valencia,Spain
Priorat_(DOQ)_instance,Priorat,Priorat,Spain
Rueda_(DO)_instance,Rueda,Castilla y Leon,Spain
Tarragona_(DO)_instance,Tarragona,Catalonia,Spain
Rioja_(wine)_instance,Rioja,Rioja,Spain
Ribera_del_Duero_instance,Ribera del Duero,Castilla y Leon,Spain
Toro_(DO)_instance,Toro,Toro,Spain
Catalunya_(DO)_instance,Catalunya,Catalonia,Spain
Rías_Baixas_(DO)_instance,Rias Baixas,Galicia,Spain
Tierra_de_León_(DO)_instance,Tierra de Leon,Castilla y Leon,Spain
Vinos_de_Madrid_instance,Vinos de Madrid,Madrid,Spain
Douro_DOC_instance,Douro,Douro,Portugal
Vinho_Verde_instance,Vinho Verde,Vinho Verde,Portugal
